video_name,video_id,frame_number,timestamp_sec,track_id,frame_width,frame_height,video_fps,center_x,center_y,normalized_x,normalized_y,bbox_width,bbox_height,bbox_area_ratio,detection_confidence,motion_valid,movement_distance_px,movement_distance_norm,speed_px_s,speed_norm_s,acceleration_px_s2,acceleration_norm_s2,direction_angle_deg,direction_change_deg,direction_sin,direction_cos,consecutive_frames
download.mp4,VIDEO_001,8,0.2333,5,1920,1080,30.0,1426.45,893.12,0.742941,0.826967,55.42,100.27,0.00268006,0.450906,1,1.7439,0.00079165,52.3182,0.02374963,-3193.1534,-1.44951792,161.1047,1.6867,0.32384021,-0.94611179,8
download.mp4,VIDEO_001,8,0.2333,8,1920,1080,30.0,1730.68,910.17,0.901397,0.842752,62.01,124.68,0.00372849,0.534538,1,1.3531,0.00061421,40.5916,0.0184264,-2534.8442,-1.15068136,193.0031,3.258,-0.22500446,-0.97435773,5
download.mp4,VIDEO_001,8,0.2333,9,1920,1080,30.0,1594.35,1008.17,0.830393,0.933489,77.79,142.76,0.00535591,0.289009,1,0.993,0.00045076,29.7891,0.01352265,-2110.1581,-0.95789697,183.4711,3.3606,-0.06054517,-0.99816546,4
download.mp4,VIDEO_001,8,0.2333,11,1920,1080,30.0,930.27,819.77,0.484518,0.75905,50.36,101.46,0.00246409,0.327868,1,1.0966,0.00049782,32.8993,0.01493449,-1873.3435,-0.85039602,224.5626,1.8669,-0.70168751,-0.71248484,3
download.mp4,VIDEO_001,8,0.2333,12,1920,1080,30.0,737.26,839.6,0.383988,0.777412,35.23,67.62,0.00114896,0.792493,1,0.3922,0.00017805,11.7669,0.00534152,0.0,0.0,302.4647,0.0,-0.84372235,0.53677983,2
download.mp4,VIDEO_001,8,0.2333,13,1920,1080,30.0,1262.76,833.84,0.657689,0.77207,40.84,99.58,0.00196119,0.390283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,8,0.2333,14,1920,1080,30.0,1412.11,827.05,0.735475,0.76579,41.76,95.01,0.00191326,0.301733,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,9,0.2667,1,1920,1080,30.0,1853.6,943.08,0.965415,0.873226,40.54,177.43,0.00346873,0.358595,1,9.1239,0.00414177,273.7181,0.12425312,4339.3411,1.96982477,223.7798,0.4375,-0.69188822,-0.72200464,9
download.mp4,VIDEO_001,9,0.2667,2,1920,1080,30.0,1705.12,1027.41,0.888082,0.951304,75.09,105.08,0.00380515,0.297272,1,2.2704,0.00103064,68.112,0.03091913,1275.016,0.5787879,181.2755,8.1739,-0.02225913,-0.99975223,9
download.mp4,VIDEO_001,9,0.2667,4,1920,1080,30.0,1796.07,882.59,0.935453,0.817211,46.18,150.99,0.00336245,0.466134,1,9.9027,0.00449531,297.0823,0.13485919,5991.6775,2.7198956,260.5087,140.3041,-0.98631076,-0.16489721,9
download.mp4,VIDEO_001,9,0.2667,5,1920,1080,30.0,1423.16,894.37,0.741228,0.828125,59.61,107.24,0.003083,0.418261,1,3.5188,0.00159732,105.5627,0.04791974,1597.3349,0.72510315,159.1946,1.9101,0.35519563,-0.93479199,9
download.mp4,VIDEO_001,9,0.2667,8,1920,1080,30.0,1730.81,908.37,0.901463,0.841079,63.63,127.51,0.00391278,0.345137,1,1.8115,0.00082233,54.3457,0.02466998,412.6209,0.18730742,274.0051,81.0019,-0.99755785,0.06984505,6
download.mp4,VIDEO_001,9,0.2667,9,1920,1080,30.0,1589.07,1006.58,0.827639,0.932021,79.37,146.76,0.00561756,0.458644,1,5.5207,0.00250609,165.6206,0.07518275,4074.944,1.84980286,196.6911,13.2199,-0.28721095,-0.95786735,5
download.mp4,VIDEO_001,9,0.2667,12,1920,1080,30.0,738.37,838.26,0.384565,0.776164,36.47,70.02,0.00123147,0.538463,1,1.7459,0.00079254,52.3768,0.02377622,1218.2978,0.55304091,309.442,6.9773,-0.77226768,0.63529727,3
download.mp4,VIDEO_001,9,0.2667,13,1920,1080,30.0,1259.14,826.47,0.6558,0.765248,43.56,106.32,0.0022332,0.239584,1,8.2117,0.00372765,246.3503,0.11182963,0.0,0.0,243.7911,0.0,-0.89718975,-0.44164528,2
download.mp4,VIDEO_001,9,0.2667,14,1920,1080,30.0,1407.42,825.69,0.733034,0.764527,43.91,100.15,0.00212075,0.325555,1,4.8823,0.00221632,146.4702,0.06648952,0.0,0.0,196.2182,0.0,-0.2792957,-0.96020514,2
download.mp4,VIDEO_001,10,0.3,1,1920,1080,30.0,1845.83,934.89,0.961372,0.865635,40.11,170.32,0.00329444,0.385927,1,11.2899,0.00512502,338.6982,0.15375057,1949.4041,0.88492338,226.5627,2.783,-0.72612754,-0.68756004,10
download.mp4,VIDEO_001,10,0.3,2,1920,1080,30.0,1703.31,1026.84,0.887139,0.950776,75.44,105.33,0.00383191,0.315592,1,1.8988,0.00086194,56.9635,0.02585831,-334.4553,-0.15182452,197.4742,16.1988,-0.30027667,-0.95385215,10
download.mp4,VIDEO_001,10,0.3,4,1920,1080,30.0,1795.73,873.76,0.935274,0.809037,44.36,144.16,0.00308436,0.516591,1,8.8354,0.00401078,265.0611,0.12032334,-960.6339,-0.43607554,267.7639,7.2552,-0.99923856,-0.03901665,10
download.mp4,VIDEO_001,10,0.3,5,1920,1080,30.0,1422.02,891.68,0.740637,0.825627,59.98,107.17,0.0030998,0.44299,1,2.9266,0.00132853,87.7989,0.03985592,-532.9153,-0.24191456,247.1823,87.9877,-0.9217433,-0.38780059,10
download.mp4,VIDEO_001,10,0.3,8,1920,1080,30.0,1725.84,907.46,0.898877,0.840238,67.11,135.25,0.00437746,0.317581,1,5.0462,0.00229071,151.3865,0.06872125,2911.2256,1.32153805,190.3653,83.6398,-0.17992258,-0.98368077,7
download.mp4,VIDEO_001,10,0.3,12,1920,1080,30.0,740.59,836.49,0.385722,0.774529,39.57,76.09,0.00145226,0.150979,1,2.8367,0.00128771,85.1011,0.03863129,981.7301,0.44565203,321.5061,12.064,-0.62243192,0.78267395,4
download.mp4,VIDEO_001,10,0.3,14,1920,1080,30.0,1401.82,835.29,0.730113,0.773421,53.6,123.35,0.00318828,0.172411,1,11.1218,0.0050487,333.6545,0.151461,5615.5284,2.54914435,120.2753,75.9429,0.86361335,-0.50415472,3
download.mp4,VIDEO_001,11,0.3333,1,1920,1080,30.0,1835.56,928.14,0.95602,0.859393,41.83,171.09,0.00345154,0.411425,1,12.2886,0.00557837,368.6588,0.16735105,898.818,0.40801448,213.2709,13.2918,-0.54859796,-0.83608628,11
download.mp4,VIDEO_001,11,0.3333,2,1920,1080,30.0,1700.96,1026.03,0.885918,0.950025,77.11,107.58,0.00400017,0.269616,1,2.4802,0.00112586,74.4051,0.03377587,523.2496,0.23752687,199.0746,1.6004,-0.32679866,-0.94509398,11
download.mp4,VIDEO_001,11,0.3333,4,1920,1080,30.0,1791.52,867.73,0.933082,0.803453,44.36,142.95,0.00305825,0.426565,1,7.3535,0.00333808,220.6044,0.10014238,-1333.7033,-0.60542873,235.0889,32.6751,-0.82004062,-0.57230532,11
download.mp4,VIDEO_001,11,0.3333,5,1920,1080,30.0,1422.16,889.29,0.740708,0.823416,61.92,110.77,0.00330762,0.429646,1,2.3915,0.00108562,71.7454,0.03256853,-481.6033,-0.21862169,273.2773,26.095,-0.99836456,0.05716826,11
download.mp4,VIDEO_001,11,0.3333,8,1920,1080,30.0,1720.01,905.2,0.895838,0.83815,68.01,138.76,0.00455149,0.330409,1,6.2553,0.00283957,187.6595,0.08518718,1088.1878,0.49397806,201.1306,10.7653,-0.36049421,-0.93276145,8
download.mp4,VIDEO_001,11,0.3333,9,1920,1080,30.0,1572.58,1000.16,0.819053,0.926076,85.2,159.54,0.00655496,0.379514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,12,0.3667,1,1920,1080,30.0,1824.96,923.07,0.950499,0.854691,44.22,175.62,0.00374538,0.694333,1,11.7546,0.00533596,352.6388,0.16007881,-480.6019,-0.21816713,205.5938,7.6771,-0.43198742,-0.90187963,12
download.mp4,VIDEO_001,12,0.3667,2,1920,1080,30.0,1697.84,1024.28,0.88429,0.948411,79.0,111.3,0.00424057,0.237432,1,3.5791,0.00162472,107.3734,0.04874168,989.0483,0.44897412,209.1405,10.0659,-0.48695274,-0.87342832,12
download.mp4,VIDEO_001,12,0.3667,4,1920,1080,30.0,1787.69,867.48,0.931087,0.803224,46.15,148.96,0.00331492,0.198423,1,3.837,0.00174179,115.1101,0.05225373,-3164.8278,-1.43665962,183.7061,51.3828,-0.06463803,-0.99790878,12
download.mp4,VIDEO_001,12,0.3667,5,1920,1080,30.0,1422.26,883.5,0.740759,0.818055,59.97,106.91,0.00309223,0.439973,1,5.7913,0.00262895,173.7398,0.0788684,3059.8294,1.38899608,270.9692,2.3081,-0.99985693,0.0169152,12
download.mp4,VIDEO_001,12,0.3667,8,1920,1080,30.0,1713.81,901.32,0.892608,0.834555,67.32,139.26,0.00452137,0.224008,1,7.3168,0.00332144,219.5048,0.09964325,955.3612,0.43368202,212.0478,10.9173,-0.53062714,-0.84760535,9
download.mp4,VIDEO_001,12,0.3667,9,1920,1080,30.0,1567.77,996.34,0.816544,0.922537,85.82,163.97,0.00678569,0.377365,1,6.1481,0.00279089,184.4422,0.08372671,0.0,0.0,218.4379,0.0,-0.62166671,-0.78328188,2
download.mp4,VIDEO_001,13,0.4,2,1920,1080,30.0,1694.54,1022.8,0.882574,0.94704,78.99,113.64,0.00432887,0.286469,1,3.611,0.00163918,108.3287,0.04917531,28.6579,0.01300912,204.223,4.9175,-0.41028947,-0.91195534,13
download.mp4,VIDEO_001,13,0.4,4,1920,1080,30.0,1781.03,858.86,0.927621,0.795242,42.98,137.6,0.00285219,0.326329,1,10.8903,0.00494358,326.7077,0.14830753,6347.9282,2.88161404,232.3306,48.6245,-0.79154956,-0.61110498,13
download.mp4,VIDEO_001,13,0.4,5,1920,1080,30.0,1419.88,881.2,0.739523,0.81593,60.43,107.48,0.00313225,0.537958,1,3.3015,0.00149871,99.0458,0.04496142,-2240.8181,-1.01720948,224.03,46.9392,-0.69503516,-0.71897575,13
download.mp4,VIDEO_001,13,0.4,8,1920,1080,30.0,1707.92,899.36,0.889544,0.832743,66.54,139.88,0.00448882,0.35991,1,6.2006,0.00281474,186.0185,0.08444226,-1004.5911,-0.4560297,198.3967,13.6511,-0.31559427,-0.94889423,10
download.mp4,VIDEO_001,13,0.4,9,1920,1080,30.0,1563.02,996.47,0.814071,0.922654,84.81,165.41,0.00676571,0.339761,1,4.751,0.00215669,142.5297,0.06470072,-1257.3748,-0.57077976,178.485,39.953,0.02643878,-0.99965043,3
download.mp4,VIDEO_001,13,0.4,20,1920,1080,30.0,916.45,799.86,0.477319,0.740608,48.48,99.37,0.00232314,0.370277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,14,0.4333,2,1920,1080,30.0,1693.98,1022.21,0.882282,0.946488,78.36,114.85,0.00434028,0.288189,1,0.8181,0.00037139,24.5444,0.01114182,-2513.5276,-1.14100476,226.7004,22.4773,-0.72777716,-0.68581368,14
download.mp4,VIDEO_001,14,0.4333,4,1920,1080,30.0,1778.73,855.68,0.926422,0.792299,41.9,133.01,0.00268773,0.344514,1,3.9242,0.00178137,117.7255,0.05344096,-6269.4671,-2.84599698,234.0891,1.7586,-0.80993027,-0.58652617,14
download.mp4,VIDEO_001,14,0.4333,5,1920,1080,30.0,1419.09,880.62,0.739109,0.815386,60.78,107.89,0.0031627,0.547061,1,0.9877,0.00044834,29.6297,0.01345028,-2082.4835,-0.94533421,216.4811,7.5489,-0.59455786,-0.80405283,14
download.mp4,VIDEO_001,14,0.4333,8,1920,1080,30.0,1705.74,898.64,0.888404,0.832078,65.5,139.96,0.0044212,0.358049,1,2.3032,0.00104554,69.0966,0.03136611,-3507.6548,-1.59228443,198.186,0.2107,-0.31210272,-0.95004836,11
download.mp4,VIDEO_001,14,0.4333,9,1920,1080,30.0,1561.41,996.03,0.813235,0.92225,83.05,165.54,0.00663038,0.337648,1,1.662,0.00075447,49.8611,0.02263423,-2780.0569,-1.26199459,195.2095,16.7245,-0.26234981,-0.96497284,4
download.mp4,VIDEO_001,14,0.4333,20,1920,1080,30.0,916.36,799.54,0.477271,0.740315,49.04,100.74,0.00238228,0.378611,1,0.3293,0.00014948,9.8786,0.00448434,0.0,0.0,253.5805,0.0,-0.95921779,-0.28266805,2
download.mp4,VIDEO_001,14,0.4333,23,1920,1080,30.0,92.3,845.98,0.048074,0.783313,37.92,80.92,0.00147964,0.754031,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,14,0.4333,24,1920,1080,30.0,1339.83,816.47,0.697826,0.75599,45.6,104.98,0.00230847,0.393422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,14,0.4333,25,1920,1080,30.0,1635.84,907.22,0.851999,0.840014,37.81,106.9,0.00194941,0.349906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,14,0.4333,1,1920,1080,30.0,1811.51,912.0,0.943494,0.844447,42.2,163.71,0.00333179,0.280251,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
download.mp4,VIDEO_001,15,0.4667,2,1920,1080,30.0,1691.91,1022.21,0.881202,0.946488,75.98,112.91,0.00413724,0.313098,1,2.074,0.00094147,62.2192,0.02824415,1130.2451,0.5130698,179.9975,46.7029,4.414e-05,-1.0,15
download.mp4,VIDEO_001,15,0.4667,5,1920,1080,30.0,1412.25,881.44,0.735549,0.816144,61.24,107.98,0.00318893,0.468363,1,6.8848,0.00312531,206.5431,0.09375931,5307.4004,2.40927103,173.1762,43.3049,0.11881644,-0.99291624,15
download.mp4,VIDEO_001,15,0.4667,8,1920,1080,30.0,1698.15,896.58,0.884453,0.830163,63.76,137.88,0.00423971,0.353829,1,7.8627,0.00356926,235.8825,0.10707782,5003.5758,2.27135119,195.2468,2.9392,-0.26297651,-0.96480224,12
download.mp4,VIDEO_001,15,0.4667,9,1920,1080,30.0,1554.55,994.94,0.809661,0.921241,81.63,164.99,0.00649529,0.420448,1,6.9488,0.00315436,208.4626,0.09463069,4758.045,2.15989357,189.0248,6.1847,-0.15686213,-0.98762051,5
download.mp4,VIDEO_001,15,0.4667,20,1920,1080,30.0,914.15,800.64,0.476121,0.741334,49.03,101.11,0.00239055,0.450923,1,2.4663,0.00111956,73.9884,0.03358673,1923.296,0.87307174,153.4901,100.0904,0.44635216,-0.89485739,3
download.mp4,VIDEO_001,15,0.4667,24,1920,1080,30.0,1332.79,816.34,0.694162,0.755866,46.23,106.58,0.00237595,0.357059,1,7.0375,0.00319462,211.1237,0.09583869,0.0,0.0,181.0858,0.0,-0.01895028,-0.99982043,2
download.mp4,VIDEO_001,15,0.4667,25,1920,1080,30.0,1631.47,924.6,0.849723,0.856113,48.83,138.23,0.00325482,0.422179,1,17.9275,0.00813812,537.8256,0.24414356,0.0,0.0,104.1129,0.0,0.969817,-0.24383394,2
download.mp4,VIDEO_001,15,0.4667,1,1920,1080,30.0,1802.58,906.97,0.938846,0.839791,43.92,163.54,0.00346398,0.562171,1,10.2435,0.00464997,307.3037,0.13949914,0.0,0.0,209.3977,0.0,-0.49086934,-0.8712332,2
download.mp4,VIDEO_001,15,0.4667,12,1920,1080,30.0,748.45,824.73,0.389818,0.763635,44.95,87.29,0.00189198,0.540653,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
