video_name,video_id,window_index,window_start_sec,window_end_sec,zone_id,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,zone_presence_ratio,avg_bbox_area_ratio,total_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_norm,avg_speed_px_s,avg_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,mean_direction_deg,direction_consistency,movement_activity
new_test.mp4,VIDEO_003,3,6.0,8.0,ZONE_A,23,7.48,11,1.0,0.00645264,4.826574,0.387224,716,0.00134511,148.1578,0.06725558,0.04367709,0.01868301,2.04092479,20.5559,226.9925,0.192464,0.957219
new_test.mp4,VIDEO_003,3,6.0,8.0,ZONE_B,30,7.67,11,1.0,0.00648905,4.97710438,0.331887,733,0.00138756,152.8327,0.06937774,0.048584,0.02085281,2.38625893,27.0249,19.6299,0.250026,0.955671
new_test.mp4,VIDEO_003,3,6.0,8.0,ZONE_C,26,5.39,9,1.0,0.00703725,3.7930754,0.342764,517,0.00128449,141.4802,0.06422432,0.07035255,0.05595334,3.92996633,33.2676,17.6897,0.334309,0.959184
new_test.mp4,VIDEO_003,4,8.0,10.0,ZONE_A,26,6.84,10,1.0,0.00655608,4.48436039,0.352028,656,0.00149503,164.6711,0.07475173,0.04587851,0.03020727,1.98733816,22.314,5.8457,0.129661,0.959064
new_test.mp4,VIDEO_003,4,8.0,10.0,ZONE_B,25,8.75,12,1.0,0.0061676,5.39664629,0.380846,855,0.00121726,134.0752,0.06086283,0.03897968,0.01555254,1.60428215,24.0842,11.4615,0.41659,0.977143
new_test.mp4,VIDEO_003,4,8.0,10.0,ZONE_C,22,6.93,10,1.0,0.00608737,4.21854956,0.333679,660,0.00113298,124.793,0.05664923,0.04685719,0.05282699,2.01784254,33.3625,7.4573,0.37889,0.952381
new_test.mp4,VIDEO_003,5,10.0,12.0,ZONE_A,11,4.9615,7,1.0,0.00627248,1.6183006,0.380595,251,0.0014006,154.2699,0.07003013,0.03767382,0.03255357,1.94426446,25.0039,263.6124,0.149094,0.972868
new_test.mp4,VIDEO_003,5,10.0,12.0,ZONE_B,24,11.6154,13,1.0,0.00618923,3.73829413,0.372741,587,0.00111521,122.8347,0.05576027,0.04493621,0.01951016,1.6996734,29.0212,6.9789,0.415594,0.971854
new_test.mp4,VIDEO_003,5,10.0,12.0,ZONE_C,19,9.9615,12,1.0,0.00635698,3.29291343,0.34594,502,0.00120337,132.5456,0.06016848,0.04183314,-0.0018834,2.08634622,29.902,14.6548,0.207449,0.969112
test.mp4,VIDEO_005,0,0.0,2.0,ZONE_A,11,4.56,7,1.0,0.02709319,6.17724664,0.639788,215,0.00617365,339.9996,0.15434131,0.20167859,0.16670539,3.46046015,38.0929,350.7819,0.301472,0.942982
test.mp4,VIDEO_005,0,0.0,2.0,ZONE_B,23,7.36,12,1.0,0.01797916,6.61633112,0.565004,339,0.00356003,196.0603,0.08900071,0.12713081,0.06708397,2.84419362,36.499,338.3199,0.226803,0.921196
test.mp4,VIDEO_005,0,0.0,2.0,ZONE_C,9,5.56,7,1.0,0.01287098,3.57813289,0.611855,268,0.00145583,80.1766,0.03639581,0.04189718,0.0072315,1.13105149,47.5111,145.5275,0.058856,0.964029
test.mp4,VIDEO_005,1,2.0,4.0,ZONE_A,5,2.42,3,1.0,0.01542987,1.86701466,0.651846,120,0.0013298,73.2358,0.03324506,0.076557,0.01055478,0.92654709,57.4571,39.9783,0.305761,0.991736
test.mp4,VIDEO_005,1,2.0,4.0,ZONE_B,21,8.94,11,1.0,0.0206812,9.2444942,0.65396,434,0.00379634,209.0749,0.09490862,0.09184274,0.03726432,1.83037795,27.5173,122.5325,0.202386,0.970917
test.mp4,VIDEO_005,1,2.0,4.0,ZONE_C,12,4.18,6,1.0,0.01704159,3.56169175,0.634876,200,0.00248062,136.6145,0.06201557,0.06379955,0.06281761,1.18511132,35.7665,130.2441,0.441435,0.956938
test.mp4,VIDEO_005,2,4.0,6.0,ZONE_A,13,3.42,6,1.0,0.02382602,4.07424938,0.690491,162,0.00518562,285.5858,0.1296404,0.17296946,0.05818992,2.92707983,39.5626,40.6132,0.103829,0.947368
test.mp4,VIDEO_005,2,4.0,6.0,ZONE_B,29,9.64,13,1.0,0.0159957,7.70992891,0.603352,458,0.00385717,212.4246,0.09642921,0.10679275,0.03815173,2.23851466,35.2122,1.6174,0.030717,0.950207
test.mp4,VIDEO_005,2,4.0,6.0,ZONE_C,6,3.76,5,1.0,0.00624546,1.17414728,0.60685,184,0.00105943,58.3457,0.02648576,0.01962557,0.00209973,0.56394757,53.0488,94.53,0.216,0.978723
test.mp4,VIDEO_005,3,6.0,8.0,ZONE_A,20,4.42,7,1.0,0.02831027,6.25657052,0.661553,198,0.00547405,301.4704,0.13685117,0.1421725,0.10040486,2.82166463,24.907,11.9313,0.073536,0.895928
test.mp4,VIDEO_005,3,6.0,8.0,ZONE_B,27,7.86,11,1.0,0.01548421,6.08529304,0.593554,371,0.00307603,169.4052,0.07690073,0.07248897,0.06694893,1.85633956,35.3809,324.9255,0.323392,0.94402
